cluster_DE,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
(GABA_Neurons)PVALB_LGR5.PDvsILB,0.0756085639933175,-1.18121114190124,0.002,0.011,1,LITAF
(GABA_Neurons)PVALB_LGR5.ILBvsHC,0.422022137834001,0.130188261661365,0.011,0.005,1,LITAF
(GLU_Neurons)RORB_GRIN3A.PDvsILB,0.225940374678517,0.727377785753501,0.017,0.014,1,LITAF
(GLU_Neurons)RORB_GRIN3A.PDvsHC,0.196714742910743,0.808314452370881,0.017,0.014,1,LITAF
(GABA_Neurons)VIP_OPRM1.PDvsILB,0.886110640928656,-0.11454451475318,0.03,0.029,1,LITAF
(GABA_Neurons)VIP_OPRM1.PDvsHC,0.0560802381018134,0.370442124130242,0.03,0.017,1,LITAF
(GABA_Neurons)VIP_OPRM1.ILBvsHC,0.0866602073128522,0.484986638883422,0.029,0.017,1,LITAF
(GABA_Neurons)VIP_TSPAN12.PDvsILB,0.812059466032701,-0.262065189005441,0.018,0.016,1,LITAF
(GABA_Neurons)VIP_TSPAN12.PDvsHC,0.0351489805495897,-0.903573231073721,0.018,0.046,1,LITAF
(GABA_Neurons)VIP_TSPAN12.ILBvsHC,0.0276420590712978,-0.64150804206828,0.016,0.046,1,LITAF
(Astrocytes)Astrocytes.PDvsILB,0.606892067892151,-0.358389725219295,0.054,0.055,1,LITAF
(Astrocytes)Astrocytes.PDvsHC,0.16527302980822,-0.115340796048677,0.054,0.049,1,LITAF
(Astrocytes)Astrocytes.ILBvsHC,0.0756733151367209,0.243048929170618,0.055,0.049,1,LITAF
(Microglia)Microglia.PDvsHC,2.2263437652066e-16,0.28714206549632,0.168,0.112,7.79710113450656e-12,LITAF
(Microglia)Microglia.ILBvsHC,0.0237711533006587,0.19046034017909,0.125,0.112,1,LITAF
(Endothelial_Cells)Endothelial_Cells.PDvsILB,0.000180925496734465,0.419420865029179,0.078,0.054,1,LITAF
(Endothelial_Cells)Endothelial_Cells.PDvsHC,5.66202785348037e-05,0.466279128090524,0.078,0.053,1,LITAF
(GLU_Neurons)THEMIS_DCSTAMP.PDvsILB,0.40276073915569,-0.111263701925675,0.02,0.017,1,LITAF
