p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
2.8567063022393e-93,-4.38236557057643,0.009,0.03,1.00047568117025e-88,(GLU_Neurons)LINC00507_FREM3_LINC01090,LITAF
2.60852008605355e-07,-4.00507163923118,0.005,0.029,0.00913555904537673,(GABA_Neurons)PVALB_LGR5,LITAF
6.0625091493701e-41,-3.3359560843573,0.007,0.03,2.1232119542924e-36,(GABA_Neurons)LAMP5_LCP2_(Rosehip),LITAF
7.60964260692391e-71,-4.28188953320564,0.006,0.03,2.66504903379689e-66,(GLU_Neurons)RORB_SEMA3E,LITAF
2.5334067395053e-76,-5.23620036816791,0.005,0.03,8.87249708309545e-72,(GLU_Neurons)THEMIS_HS3ST5,LITAF
3.49052835969019e-29,-4.21057840680371,0.006,0.03,1.2224528421307e-24,(GLU_Neurons)THEMIS_C1QL3,LITAF
1.38115635610949e-26,-3.5613501036817,0.015,0.03,4.83708579036665e-22,(GLU_Neurons)RORB_GRIN3A,LITAF
6.15868954340803e-264,-4.87504778979097,0.005,0.032,2.15689625189236e-259,(GLU_Neurons)LINC00507_PARD3,LITAF
5.79237756956017e-50,-4.61729261586063,0.004,0.03,2.02860647241136e-45,(GABA_Neurons)LAMP5_CA1,LITAF
1.23486637520702e-32,-4.6522796585061,0.006,0.03,4.32474901925003e-28,(GLU_Neurons)THEMIS_FGF10,LITAF
1.09840090050106e-27,-4.18594218345124,0.007,0.03,3.84681963373481e-23,(GLU_Neurons)FEZF2_ABO,LITAF
8.19414518271459e-118,-5.04590525762507,0.004,0.03,2.8697535258903e-113,(GLU_Neurons)LINC00507_FREM3_GRIK1,LITAF
2.00762207751877e-19,-3.64892561250163,0.005,0.03,7.03109403988624e-15,(GABA_Neurons)VIP_CHRM2,LITAF
5.36125985450212e-13,-4.07301773369384,0.006,0.03,1.87762042624373e-08,(GLU_Neurons)RORB_AGBL1,LITAF
3.69445376455821e-117,0.14103745151068,0.053,0.028,1.29387159742357e-112,(Astrocytes)Astrocytes,LITAF
0,3.06467674685831,0.138,0.026,0,(Microglia)Microglia,LITAF
